Name,Subclass,Url,Division,Retailer
7DaysMiniBakeRollsΠίτσα80g,Other bakery products,7days-mini-bake-rolls-pitsa-80g,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
BakandysΧωριάτικαΚριτσίνιαΣιταρένια275g,Other bakery products,bakandys-choriatika-kritsinia-sitarenia-275g,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
EliteΦρυγανιέςΟλικήςΆλεσης360g3+1Δώρο,Other bakery products,elite-fryganies-olikis-alesis-360g-31-doro,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
ΜέλισσαPrimoGustoΣπαγγέτιNo6500g,Pasta products and couscous,melissa-primo-gusto-spaggeti-no-6-500g,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
ΜέλισσαPrimoGustoΚριθαράκι500g,Pasta products and couscous,melissa-primo-gusto-kritharaki-500g,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
ΕποχέςΑποξηραμέναΣύκα350g,Dried fruit and nuts,epoches-apoxiramena-syka-350g,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
SeranoΣταφίδες350g,Dried fruit and nuts,serano-stafides-350g,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
BonapiΜέλιΑνθέων450g,"Jams, marmalades and honey",bonapi-meli-antheon-450g,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
ΆγιοςΓεώργιοςΚυπριακόΠαρθένοΕλαιόλαδο1L,Olive oil,agios-georgios-kypriako-partheno-elaiolado-1l,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
ΕλιοχώριΠαρθένοΕλαιόλαδο2L,Olive oil,eliochori-partheno-elaiolado-2l,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
ΣεκέπΠαρθένοΕλαιόλαδο1L,Olive oil,sekep-partheno-elaiolado-1l,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
AmbrosiaΗλιανθέλαιο4L,Other edible oils,ambrosia-ilianthelaio-4l,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
RioMareΤόνοςΣεΕλαιόλαδο160g2+1Δωρεάν,"Dried, smoked or salted fish and seafood",rio-mare-tonos-se-elaiolado-160g-21-dorean,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
RioMareΤόνοςΣεΝερό80g3+1Δωρεάν,"Dried, smoked or salted fish and seafood",rio-mare-tonos-se-nero-80g-31-dorean,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
NestleMilkmaidΓάλαΖαχαρούχο397g,Other milk products,nestle-milkmaid-gala-zacharoucho-397g,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
ΠράσινοΣταφύλι750g,Fresh or chilled fruit,prasino-stafyli-750g,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
Ψυγειοκαταψύκτης TESLA RS2300H1 άσπρο,"Refrigerators, freezers and fridge-freezers",/products/white-goods/refrigeration/refrigerators/370043,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Stephanis
Washing machine TESLA WF61062M white,"Clothes washing machines, clothes drying machines and dish washing machines",/products/white-goods/washing-and-drying/washing-machines/370023,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Stephanis
Slow Cooker MORPHY RICHARDS 460017,Cookers,/products/home-appliances/kitchen-household/cooker/379995,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Stephanis
Φορητό Ηχείο SHARP GX-BT60BK μαύρο,"Equipment for the reception, recording and reproduction of sound",/products/sound-and-vision/sound/portable-speakers/376834,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Stephanis
Σπρέι καθαρισμού FAMOZO Professional ,Accessories for information processing equipment,/products/information-technology/laptops-and-accessories/cleaning-accessories/342689,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Stephanis
Ζυγαριά αποσκευών NEDIS SCLU110GY ,Travel goods,/products/home-appliances/travel-accessories/luggage-scales/357371,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Stephanis
ADIDAS SPRINTER SHORTS,Garments for men,/product_details.php?pid=158374&type=groups,CLOTHING AND FOOTWEAR,Athlokinisi
NORTH FACE MENS SIMPLE DOME TEE,Garments for men,/product_details.php?pid=89225&type=groups,CLOTHING AND FOOTWEAR,Athlokinisi
ADIDAS OPT ST 78 TIG,Garments for women,/product_details.php?pid=156843&type=groups,CLOTHING AND FOOTWEAR,Athlokinisi
ADIDAS W WINRS TEE,Garments for women,/product_details.php?pid=158009&type=groups,CLOTHING AND FOOTWEAR,Athlokinisi
NIKE LITTLE GIRLS BOXY TEE & BIKE SHORT SET,Garments for infants (0 to 2 years) and children (3 to 13 years),/product_details.php?pid=155090&type=groups,CLOTHING AND FOOTWEAR,Athlokinisi
SKECHERS GIRLS FLUTTER HEART - LOVE LIGHT SHOES,Footwear for infants and children,/product_details.php?pid=157292&type=groups,CLOTHING AND FOOTWEAR,Athlokinisi
ADIDAS LIGHT NOSH 3-PAIRS,Clothing accessories,/product_details.php?pid=109405&type=groups,CLOTHING AND FOOTWEAR,Athlokinisi
ADIDAS BASEB CLASS TRE,Clothing accessories,/product_details.php?pid=96595&type=groups,CLOTHING AND FOOTWEAR,Athlokinisi
SPECIALIZED - ROCKHOPPER 29'',Bicycles,/collections/mountain-bikes/products/specialized-rockhopper-29,TRANSPORT,AWOL
SPECIALIZED - FAST TRACK 2BLISS READY - TAN SIDEWALL,Tyres,/collections/mtb-tyres/products/specialized-fast-track-2bliss-ready,TRANSPORT,AWOL
Cabochard Vanille Caramel 0mg 50ml,Other tobacco products,https://altervape.eu/collections/eliquids/products/cabochard-vanille-caramel-0mg-50ml,ALCOHOLIC BEVERAGES AND TOBACCO,Alter Vape
adidas men essentials single jersey big logo t-shirt (IC9349,Garments for men,/products/adidas-men-essentials-single-jersey-big-logo-t-shirt-ic9349,CLOTHING AND FOOTWEAR,FamousSports
adidas men future icons 3-stripes shorts (IC3752),Garments for men,/products/adidas-men-future-icons-3-stripes-shorts-ic3752,CLOTHING AND FOOTWEAR,FamousSports
adidas men breaknet 2.0 shoes (IF5049),Footwear for men,/products/adidas-men-breaknet-20-shoes-if5049,CLOTHING AND FOOTWEAR,FamousSports
Reebok Men Flexagon Force 4 Training Shoes (HR0404),Footwear for men,/products/reebok-men-flexagon-force-4-training-shoes-hr0404,CLOTHING AND FOOTWEAR,FamousSports
Bdtk Women Co Slim Tshirt (1231-900028),Garments for women,/products/bdtk-women-co-slim-tshirt-1231-900028-1231-900028-00200,CLOTHING AND FOOTWEAR,FamousSports
adidas women train essentials brand love high-waisted full-l,Garments for women,/products/adidas-women-train-essentials-brand-love-high-waisted-full-l,CLOTHING AND FOOTWEAR,FamousSports
Boboli Knit jacket fantasy for kids boy (525192),Garments for infants (0 to 2 years) and children (3 to 13 years),/products/boboli-knit-jacket-fantasy-for-kids-boy-525192,CLOTHING AND FOOTWEAR,FamousSports
New Balance Kids Boy 574 - Classics Gradeschool (GC574CU1),Footwear for infants and children,/products/new-balance-kids-boy-574-classics-gradeschool-gc574cu1,CLOTHING AND FOOTWEAR,FamousSports
KTM 390 ADVENTURE 2022 - Black,Motor cycles,/ktm-rc-390-orange-2023.html,TRANSPORT,MotoRace
Από μένα αυτά…,Other non-fiction books,https://www.public.cy/public/v1/mm/productPage?sku=1796703&locale=el,RECREATION AND CULTURE,Public
